Layer00,Layer01,Layer02,Layer03,Layer10,Layer11,Layer12,Layer13,Layer20,Layer21,Layer22,Layer23,lastConnection,bais
-2.9011154,-12.4274025,-38.974216,0.5656597,-10.29409,2.6886847,4.0671897,-0.6344427,-3.0359998,4.6659474,-13.806009,-8.382469,0.7023294,-10.649878
-2.9984448,8.129666,-4.0486345,5.150969,3.1269412,3.0725567,-2.289484,0.37888336,0.1801193,-3.8522377,5.2377257,-5.0436506,-1.8477411,-5.926535
1.7434483,-11.874485,1.5189273,23.733784,-9.307873,0.6228517,1.6604471,7.0970325,-1.4158006,-4.074791,-8.127278,1.7611458,-1.9544659,-5.6659827
-0.2641198,-5.7594624,-9.007637,-12.360933,-4.703952,-0.1723423,0.41377544,-6.067777,-5.7752934,-9.036813,-4.9197426,1.8504779,8.246153,-0.20408773
